month,zone_id,water_pumped_kl,billed_usage_kl,pressure_alerts,record_type,status
2026-07,Z01,11800,11100,3,actual,closed
2026-08,Z01,11920,11180,2,actual,closed
2026-09,Z01,12040,11250,4,actual,closed
2026-10,Z01,12220,11310,4,actual,closed
2026-11,Z01,12310,11360,5,actual,closed
2026-12,Z01,12400,11420,4,actual,closed
2026-07,Z02,10200,9650,2,actual,closed
2026-08,Z02,10350,9720,3,actual,closed
2026-09,Z02,10510,9810,3,actual,closed
2026-10,Z02,11050,10010,7,actual,closed
2026-11,Z02,11480,10120,8,actual,closed
2026-12,Z02,11920,10220,9,actual,closed
2026-07,Z03,9800,9360,1,actual,closed
2026-08,Z03,9900,9450,2,actual,closed
2026-09,Z03,10020,9540,1,actual,closed
2026-10,Z03,10080,9600,2,actual,closed
2026-11,Z03,10110,9640,2,actual,closed
2026-12,Z03,10170,9680,2,actual,closed
2026-07,Z04,14800,13600,5,actual,closed
2026-08,Z04,14950,13750,5,actual,closed
2026-09,Z04,15100,13890,6,actual,closed
2026-10,Z04,15600,14110,8,actual,closed
2026-11,Z04,15850,14220,9,actual,closed
2026-12,Z04,16120,14300,10,actual,closed
2026-07,Z05,13400,12690,4,actual,closed
2026-08,Z05,13520,12800,4,actual,closed
2026-09,Z05,13610,12870,4,actual,closed
2026-10,Z05,13780,12920,5,actual,closed
2026-11,Z05,13920,13010,5,actual,closed
2026-12,Z05,14010,13060,6,actual,closed
2026-07,Z06,7600,7130,6,actual,closed
2026-08,Z06,7750,7200,7,actual,closed
2026-09,Z06,7900,7280,7,actual,closed
2026-10,Z06,8350,7440,12,actual,closed
2026-11,Z06,8580,7520,13,actual,closed
2026-12,Z06,8800,7600,15,actual,closed
2026-07,Z07,9100,8620,2,actual,closed
2026-08,Z07,9180,8700,2,actual,closed
2026-09,Z07,9270,8790,3,actual,closed
2026-10,Z07,9360,8850,3,actual,closed
2026-11,Z07,9460,8920,4,actual,closed
2026-12,Z07,9570,8990,4,actual,closed
2026-07,Z08,10600,10000,3,actual,closed
2026-08,Z08,10740,10100,4,actual,closed
2026-09,Z08,10880,10220,4,actual,closed
2026-10,Z08,11120,10340,5,actual,closed
2026-11,Z08,11310,10440,6,actual,closed
2026-12,Z08,11540,10520,7,actual,closed
2026-07,Z09,8400,7720,5,actual,closed
2026-08,Z09,8520,7790,5,actual,closed
2026-09,Z09,8650,7860,6,actual,closed
2026-10,Z09,9280,8140,9,actual,closed
2026-11,Z09,9660,8280,10,actual,closed
2026-12,Z09,10040,8390,12,actual,closed
2026-07,Z10,8800,8460,1,actual,closed
2026-08,Z10,8890,8540,1,actual,closed
2026-09,Z10,8970,8620,2,actual,closed
2026-10,Z10,9040,8690,2,actual,closed
2026-11,Z10,9100,8750,2,actual,closed
2026-12,Z10,9160,8810,2,actual,closed
2026-10,Z01,99999,1000,99,forecast,forecast
2026-12,Z01,88888,2000,88,subtotal,subtotal
2026-10,Z02,99999,1000,99,forecast,forecast
2026-12,Z02,88888,2000,88,subtotal,subtotal
2026-10,Z03,99999,1000,99,forecast,forecast
2026-12,Z03,88888,2000,88,subtotal,subtotal
2026-10,Z04,99999,1000,99,forecast,forecast
2026-12,Z04,88888,2000,88,subtotal,subtotal
2026-10,Z05,99999,1000,99,forecast,forecast
2026-12,Z05,88888,2000,88,subtotal,subtotal
2026-10,Z06,99999,1000,99,forecast,forecast
2026-12,Z06,88888,2000,88,subtotal,subtotal
2026-10,Z07,99999,1000,99,forecast,forecast
2026-12,Z07,88888,2000,88,subtotal,subtotal
2026-10,Z08,99999,1000,99,forecast,forecast
2026-12,Z08,88888,2000,88,subtotal,subtotal
2026-10,Z09,99999,1000,99,forecast,forecast
2026-12,Z09,88888,2000,88,subtotal,subtotal
2026-06,Z09,77777,3000,77,old_period,old_period
2026-10,Z10,99999,1000,99,forecast,forecast
2026-12,Z10,88888,2000,88,subtotal,subtotal
