ticket_id,opened_date,resolved_date,queue,channel,plan_code,status,record_type,requester_type,first_response_min,handle_min,csat
T001,2026-06-03,2026-06-03,Billing,chat,ENT,resolved,customer_ticket,external,18,42,5
T002,2026-06-04,2026-06-04,Technical,email,ENT,resolved,customer_ticket,external,75,110,4
T003,2026-06-04,2026-06-04,Account,phone,SMB,resolved,customer_ticket,external,90,55,4
T004,2026-06-05,2026-06-05,Billing,email,SMB,resolved,customer_ticket,external,130,70,3
T005,2026-06-06,2026-06-06,Technical,chat,ENT,resolved,customer_ticket,external,35,95,5
T006,2026-06-07,2026-06-07,Account,social,FREE,resolved,customer_ticket,external,210,48,4
T007,2026-06-08,2026-06-08,Billing,phone,ENT,resolved,customer_ticket,external,50,40,5
T008,2026-06-09,2026-06-09,Technical,email,SMB,resolved,customer_ticket,external,100,125,4
T009,2026-06-10,2026-06-10,Account,chat,SMB,resolved,customer_ticket,external,80,60,5
T010,2026-06-11,2026-06-11,Billing,social,FREE,resolved,customer_ticket,external,260,38,3
T011,2026-06-12,2026-06-12,Technical,phone,ENT,resolved,customer_ticket,external,58,105,4
T012,2026-06-13,2026-06-13,Account,email,FREE,resolved,customer_ticket,external,220,50,4
T013,2026-06-14,2026-06-14,Billing,chat,SMB,resolved,customer_ticket,external,45,36,5
T014,2026-06-15,2026-06-15,Technical,social,SMB,resolved,customer_ticket,external,140,118,3
T015,2026-06-16,2026-06-16,Account,phone,ENT,resolved,customer_ticket,external,62,72,4
T016,2026-06-17,2026-06-17,Billing,email,ENT,resolved,customer_ticket,external,55,44,5
T017,2026-06-18,2026-06-18,Technical,chat,FREE,resolved,customer_ticket,external,180,90,4
T018,2026-06-19,2026-06-19,Account,social,SMB,resolved,customer_ticket,external,110,58,5
T019,2026-05-28,2026-05-29,Billing,email,ENT,resolved,customer_ticket,external,20,39,5
T020,2026-06-20,,Technical,chat,ENT,open,customer_ticket,external,25,0,
T021,2026-06-21,2026-06-21,Account,phone,SMB,cancelled,customer_ticket,external,10,15,
T022,2026-06-22,2026-06-22,Billing,email,ENT,resolved,internal_test,external,8,20,5
T023,2026-06-23,2026-06-23,Technical,email,ENT,resolved,customer_ticket,internal,12,35,5
T024,2026-06-24,2026-06-24,All Queues,all,ENT,resolved,subtotal,external,0,0,
T025,2026-06-25,2026-06-25,Billing,chat,SMB,resolved,forecast,external,15,30,
