shipment_id,ship_date,delivery_date,origin_hub,destination_zone,service_level,carrier_code,status,record_type,packages,claim_usd
S001,2026-07-01,2026-07-02,North,Metro,priority,C1,delivered,shipment,12,0
S002,2026-07-01,2026-07-04,North,Coastal,standard,C2,delivered,shipment,9,0
S003,2026-07-02,2026-07-07,Central,Mountain,standard,C1,delivered,shipment,7,30
S004,2026-07-03,2026-07-08,West,Rural,economy,C3,delivered,shipment,6,0
S005,2026-07-04,2026-07-05,East,Metro,priority,C2,delivered,shipment,14,0
S006,2026-07-05,2026-07-09,East,Coastal,standard,C1,delivered,shipment,5,20
S007,2026-07-06,2026-07-10,Central,Mountain,standard,C3,delivered,shipment,8,0
S008,2026-07-07,2026-07-13,West,Rural,economy,C2,delivered,shipment,4,20
S009,2026-07-08,2026-07-09,North,Metro,priority,C1,delivered,shipment,10,0
S010,2026-07-09,2026-07-11,East,Coastal,priority,C3,delivered,shipment,11,0
S011,2026-07-10,2026-07-14,Central,Mountain,economy,C2,delivered,shipment,3,0
S012,2026-07-11,2026-07-17,West,Rural,standard,C1,delivered,shipment,5,50
S013,2026-07-12,2026-07-13,North,Metro,standard,C3,delivered,shipment,9,0
S014,2026-07-13,2026-07-16,East,Coastal,economy,C2,delivered,shipment,7,0
S015,2026-07-14,2026-07-18,Central,Mountain,priority,C1,delivered,shipment,6,0
S016,2026-07-15,2026-07-21,West,Rural,economy,C3,delivered,shipment,4,40
S017,2026-06-29,2026-07-01,North,Metro,priority,C1,delivered,shipment,8,0
S018,2026-07-16,,East,Coastal,standard,C2,cancelled,shipment,6,0
S019,2026-07-17,2026-07-20,West,Rural,economy,C3,delivered,return_only,2,0
S020,2026-07-18,2026-07-19,North,Metro,priority,C2,delivered,test,1,0
S021,2026-07-19,2026-07-20,All,All,all,C2,delivered,subtotal,110,0
S022,2026-07-20,2026-07-21,Central,Mountain,standard,C1,planned,forecast,5,0
