event_id,account_id,event_date,event_type,source_record
E001,A01,2026-08-01,workspace_created,actual
E002,A01,2026-08-03,first_report_published,actual
E003,A01,2026-08-25,automation_run,actual
E004,A02,2026-08-01,workspace_created,actual
E005,A02,2026-08-26,settings_changed,actual
E006,A03,2026-08-03,workspace_created,actual
E007,A03,2026-08-07,first_report_published,actual
E008,A03,2026-08-29,automation_run,actual
E009,A04,2026-08-02,workspace_created,actual
E010,A04,2026-08-08,first_report_published,actual
E011,A04,2026-08-31,dashboard_view,actual
E012,A05,2026-08-03,workspace_created,actual
E013,A05,2026-08-05,first_report_published,actual
E014,A05,2026-08-26,automation_run,actual
E015,A06,2026-08-04,workspace_created,actual
E016,A06,2026-08-12,first_report_published,actual
E017,A06,2026-08-27,integration_sync,actual
E018,A07,2026-08-04,workspace_created,actual
E019,A07,2026-08-09,first_report_published,actual
E020,A07,2026-09-01,automation_run,actual
E021,A08,2026-08-05,workspace_created,actual
E022,A08,2026-08-15,first_report_published,actual
E023,A08,2026-08-25,settings_changed,actual
E024,A09,2026-08-06,workspace_created,actual
E025,A09,2026-08-10,first_report_published,actual
E026,A09,2026-09-02,automation_run,actual
E027,A10,2026-08-05,workspace_created,actual
E028,A10,2026-08-06,first_report_published,actual
E029,A10,2026-08-26,automation_run,actual
E030,A11,2026-08-06,workspace_created,actual
E031,A11,2026-08-13,first_report_published,actual
E032,A11,2026-09-03,automation_run,actual
E033,A12,2026-08-07,workspace_created,actual
E034,A12,2026-08-14,first_report_published,actual
E035,A12,2026-09-04,automation_run,actual
E036,A13,2026-07-29,workspace_created,actual
E037,A13,2026-08-25,automation_run,actual
E038,A14,2026-08-02,workspace_created,actual
E039,A14,2026-08-03,first_report_published,actual
E040,A14,2026-08-25,automation_run,actual
E041,A15,2026-08-03,workspace_created,actual
E042,A15,2026-08-04,first_report_published,actual
E043,A16,2026-08-04,workspace_created,actual
E044,A16,2026-08-05,first_report_published,actual
E045,A17,2026-08-05,workspace_created,forecast
E046,A17,2026-08-06,first_report_published,forecast
