month,entity_id,scheduled_trips,on_time_trips,crowding_reports,record_type,status
2026-07,E01,900,828,2,actual,closed
2026-08,E01,924,852,2,actual,closed
2026-09,E01,948,876,3,actual,closed
2026-10,E01,972,880,3,actual,closed
2026-11,E01,996,904,4,actual,closed
2026-12,E01,1020,928,4,actual,closed
2026-07,E02,1005,914,3,actual,closed
2026-08,E02,1034,947,3,actual,closed
2026-09,E02,1063,980,4,actual,closed
2026-10,E02,1092,981,5,actual,closed
2026-11,E02,1121,1014,6,actual,closed
2026-12,E02,1150,1047,6,actual,closed
2026-07,E03,1110,1000,4,actual,closed
2026-08,E03,1144,1034,4,actual,closed
2026-09,E03,1178,1068,5,actual,closed
2026-10,E03,1212,1058,7,actual,closed
2026-11,E03,1246,1092,8,actual,closed
2026-12,E03,1280,1126,8,actual,closed
2026-07,E04,1215,1086,5,actual,closed
2026-08,E04,1254,1129,5,actual,closed
2026-09,E04,1293,1172,6,actual,closed
2026-10,E04,1332,1195,9,actual,closed
2026-11,E04,1371,1238,10,actual,closed
2026-12,E04,1410,1281,10,actual,closed
2026-07,E05,1320,1172,6,actual,closed
2026-08,E05,1344,1196,6,actual,closed
2026-09,E05,1368,1220,7,actual,closed
2026-10,E05,1392,1212,7,actual,closed
2026-11,E05,1416,1236,8,actual,closed
2026-12,E05,1440,1260,8,actual,closed
2026-07,E06,1425,1353,2,actual,closed
2026-08,E06,1454,1386,2,actual,closed
2026-09,E06,1483,1419,3,actual,closed
2026-10,E06,1512,1408,4,actual,closed
2026-11,E06,1541,1441,5,actual,closed
2026-12,E06,1570,1474,5,actual,closed
2026-07,E07,1530,1439,3,actual,closed
2026-08,E07,1564,1473,3,actual,closed
2026-09,E07,1598,1507,4,actual,closed
2026-10,E07,1632,1521,6,actual,closed
2026-11,E07,1666,1555,7,actual,closed
2026-12,E07,1700,1589,7,actual,closed
2026-07,E08,1635,1525,4,actual,closed
2026-08,E08,1674,1568,4,actual,closed
2026-09,E08,1713,1611,5,actual,closed
2026-10,E08,1752,1622,8,actual,closed
2026-11,E08,1791,1665,9,actual,closed
2026-12,E08,1830,1708,9,actual,closed
2026-07,E09,1740,1611,5,actual,closed
2026-08,E09,1764,1635,5,actual,closed
2026-09,E09,1788,1659,6,actual,closed
2026-10,E09,1812,1639,6,actual,closed
2026-11,E09,1836,1663,7,actual,closed
2026-12,E09,1860,1687,7,actual,closed
2026-07,E10,1845,1697,6,actual,closed
2026-08,E10,1874,1730,6,actual,closed
2026-09,E10,1903,1763,7,actual,closed
2026-10,E10,1932,1776,8,actual,closed
2026-11,E10,1961,1809,9,actual,closed
2026-12,E10,1990,1842,9,actual,closed
2026-10,E01,99999,1000,99,forecast,forecast
2026-12,E01,88888,2000,88,subtotal,subtotal
2026-06,E01,77777,3000,77,old_period,old_period
2026-10,E02,99999,1000,99,forecast,forecast
2026-12,E02,88888,2000,88,subtotal,subtotal
2026-06,E02,77777,3000,77,old_period,old_period
2026-10,E03,99999,1000,99,forecast,forecast
2026-12,E03,88888,2000,88,subtotal,subtotal
2026-06,E03,77777,3000,77,old_period,old_period
2026-10,E04,99999,1000,99,forecast,forecast
2026-12,E04,88888,2000,88,subtotal,subtotal
2026-06,E04,77777,3000,77,old_period,old_period
2026-10,E05,99999,1000,99,forecast,forecast
2026-12,E05,88888,2000,88,subtotal,subtotal
2026-06,E05,77777,3000,77,old_period,old_period
2026-10,E06,99999,1000,99,forecast,forecast
2026-12,E06,88888,2000,88,subtotal,subtotal
2026-06,E06,77777,3000,77,old_period,old_period
2026-10,E07,99999,1000,99,forecast,forecast
2026-12,E07,88888,2000,88,subtotal,subtotal
2026-06,E07,77777,3000,77,old_period,old_period
2026-10,E08,99999,1000,99,forecast,forecast
2026-12,E08,88888,2000,88,subtotal,subtotal
2026-06,E08,77777,3000,77,old_period,old_period
2026-10,E09,99999,1000,99,forecast,forecast
2026-12,E09,88888,2000,88,subtotal,subtotal
2026-06,E09,77777,3000,77,old_period,old_period
2026-10,E10,99999,1000,99,forecast,forecast
2026-12,E10,88888,2000,88,subtotal,subtotal
2026-06,E10,77777,3000,77,old_period,old_period
