movement_id,movement_date,sku_id,warehouse,movement_type,units,record_type,status
M001,2026-09-02,K101,W1,receipt,40,actual,posted
M002,2026-09-05,K101,W1,sale,70,actual,posted
M003,2026-09-18,K101,W2,sale,48,actual,posted
M004,2026-09-24,K101,W1,adjustment,-2,actual,posted
M005,2026-09-03,K202,W1,receipt,100,actual,posted
M006,2026-09-09,K202,W1,sale,120,actual,posted
M007,2026-09-20,K202,W2,sale,90,actual,posted
M008,2026-09-25,K202,W2,adjustment,-5,actual,posted
M009,2026-09-06,K303,W1,sale,80,actual,posted
M010,2026-09-21,K303,W2,sale,70,actual,posted
M011,2026-09-26,K303,W1,adjustment,-3,actual,posted
M012,2026-09-04,K404,W2,receipt,60,actual,posted
M013,2026-09-10,K404,W1,sale,74,actual,posted
M014,2026-09-22,K404,W2,sale,50,actual,posted
M015,2026-09-27,K404,W2,adjustment,-1,actual,posted
M016,2026-09-01,K505,W1,receipt,80,actual,posted
M017,2026-09-12,K505,W1,sale,100,actual,posted
M018,2026-09-23,K505,W2,sale,60,actual,posted
M019,2026-08-30,K303,W1,sale,40,actual,posted
M020,2026-09-15,K404,W1,transfer,35,actual,posted
M021,2026-09-16,K303,W1,sale,400,forecast,planned
M022,2026-09-17,K999,W1,sale,25,test,posted
M023,2026-09-28,ALL,ALL,sale,762,subtotal,posted
M024,2026-09-29,K606,W1,sale,15,actual,posted
