month,program_id,approved_budget_k,verified_spend_k,late_reports,unresolved_findings,record_type,status,grant_cycle
2026-04,P01,1180,1097,3,2,actual,closed,FY2026
2026-05,P01,1205,1118,3,2,actual,closed,FY2026
2026-06,P01,1230,1140,4,2,actual,closed,FY2026
2026-07,P01,1234,1126,4,2,actual,closed,FY2026
2026-08,P01,1259,1147,5,3,actual,closed,FY2026
2026-09,P01,1284,1167,5,3,actual,closed,FY2026
2026-09,P01,1323,1155,6,4,forecast,forecast,FY2026
2026-Q3,P01,3777,3440,14,8,subtotal,closed,FY2026
2026-09,P01,1246,1146,4,2,actual,open,FY2026
2025-09,P01,1084,999,3,2,actual,closed,FY2025
2026-04,P02,1320,1241,2,1,actual,closed,FY2026
2026-05,P02,1345,1263,3,2,actual,closed,FY2026
2026-06,P02,1370,1284,3,2,actual,closed,FY2026
2026-07,P02,1374,1220,5,3,actual,closed,FY2026
2026-08,P02,1399,1240,6,4,actual,closed,FY2026
2026-09,P02,1424,1259,7,4,actual,closed,FY2026
2026-09,P02,1463,1245,8,5,forecast,forecast,FY2026
2026-Q3,P02,4197,3719,18,11,subtotal,closed,FY2026
2026-09,P02,1386,1240,6,3,actual,open,FY2026
2025-09,P02,1224,1142,2,1,actual,closed,FY2025
2026-04,P03,1260,1146,5,3,actual,closed,FY2026
2026-05,P03,1285,1167,6,3,actual,closed,FY2026
2026-06,P03,1310,1188,6,3,actual,closed,FY2026
2026-07,P03,1314,1149,8,5,actual,closed,FY2026
2026-08,P03,1339,1169,9,6,actual,closed,FY2026
2026-09,P03,1364,1188,10,6,actual,closed,FY2026
2026-09,P03,1403,1175,11,7,forecast,forecast,FY2026
2026-Q3,P03,4017,3506,27,17,subtotal,closed,FY2026
2026-09,P03,1326,1170,9,5,actual,open,FY2026
2025-09,P03,1164,1050,5,2,actual,closed,FY2025
2026-04,P04,1460,1345,4,2,actual,closed,FY2026
2026-05,P04,1485,1366,4,2,actual,closed,FY2026
2026-06,P04,1510,1387,5,3,actual,closed,FY2026
2026-07,P04,1514,1356,7,4,actual,closed,FY2026
2026-08,P04,1539,1376,8,5,actual,closed,FY2026
2026-09,P04,1564,1395,8,5,actual,closed,FY2026
2026-09,P04,1603,1380,9,6,forecast,forecast,FY2026
2026-Q3,P04,4617,4127,23,14,subtotal,closed,FY2026
2026-09,P04,1526,1378,7,4,actual,open,FY2026
2025-09,P04,1364,1247,4,2,actual,closed,FY2025
2026-04,P05,1640,1531,3,2,actual,closed,FY2026
2026-05,P05,1665,1552,4,2,actual,closed,FY2026
2026-06,P05,1690,1573,4,2,actual,closed,FY2026
2026-07,P05,1694,1534,6,4,actual,closed,FY2026
2026-08,P05,1719,1554,6,4,actual,closed,FY2026
2026-09,P05,1744,1573,7,4,actual,closed,FY2026
2026-09,P05,1783,1556,8,5,forecast,forecast,FY2026
2026-Q3,P05,5157,4661,19,12,subtotal,closed,FY2026
2026-09,P05,1706,1558,6,3,actual,open,FY2026
2025-09,P05,1544,1430,3,2,actual,closed,FY2025
2026-04,P06,1520,1372,6,3,actual,closed,FY2026
2026-05,P06,1545,1392,7,4,actual,closed,FY2026
2026-06,P06,1570,1412,7,4,actual,closed,FY2026
2026-07,P06,1574,1353,8,5,actual,closed,FY2026
2026-08,P06,1599,1372,9,6,actual,closed,FY2026
2026-09,P06,1624,1390,10,6,actual,closed,FY2026
2026-09,P06,1663,1374,11,7,forecast,forecast,FY2026
2026-Q3,P06,4797,4115,27,17,subtotal,closed,FY2026
2026-09,P06,1586,1375,9,5,actual,open,FY2026
2025-09,P06,1424,1274,6,3,actual,closed,FY2025
2026-04,P07,1740,1614,4,2,actual,closed,FY2026
