week_start,building,campus_zone,kwh,demand_kw,occupied_sqft,record_type,status
2026-10-01,Library North,Academic,2100,210,55000,meter_reading,actual
2026-10-08,Library North,Academic,1980,205,55000,meter_reading,actual
2026-10-15,Library North,Academic,2250,220,55000,meter_reading,actual
2026-10-22,Library North,Academic,2400,235,55000,meter_reading,actual
2026-10-29,Library North,Academic,2380,232,55000,meter_reading,actual
2026-10-31,Library North,Academic,2460,240,55000,meter_reading,actual
2026-10-01,Science Hall,Lab,3100,410,70000,meter_reading,actual
2026-10-08,Science Hall,Lab,2950,405,70000,meter_reading,actual
2026-10-15,Science Hall,Lab,3200,420,70000,meter_reading,actual
2026-10-22,Science Hall,Lab,3300,430,70000,meter_reading,actual
2026-10-29,Science Hall,Lab,3420,445,70000,meter_reading,actual
2026-10-31,Science Hall,Lab,3500,452,70000,meter_reading,actual
2026-10-01,Wellness Center,Student,1500,180,42000,meter_reading,actual
2026-10-08,Wellness Center,Student,1620,188,42000,meter_reading,actual
2026-10-15,Wellness Center,Student,1580,184,42000,meter_reading,actual
2026-10-22,Wellness Center,Student,1710,190,42000,meter_reading,actual
2026-10-29,Wellness Center,Student,1740,194,42000,meter_reading,actual
2026-10-31,Wellness Center,Student,1680,191,42000,meter_reading,actual
2026-10-01,Arts Annex,Academic,980,110,28000,meter_reading,actual
2026-10-08,Arts Annex,Academic,1050,116,28000,meter_reading,actual
2026-10-15,Arts Annex,Academic,1010,112,28000,meter_reading,actual
2026-10-22,Arts Annex,Academic,1070,119,28000,meter_reading,actual
2026-10-29,Arts Annex,Academic,1120,123,28000,meter_reading,actual
2026-10-31,Arts Annex,Academic,1090,121,28000,meter_reading,actual
2026-10-01,Data Center,Operations,2600,470,20000,meter_reading,actual
2026-10-08,Data Center,Operations,2720,480,20000,meter_reading,actual
2026-10-15,Data Center,Operations,2810,492,20000,meter_reading,actual
2026-10-22,Data Center,Operations,2950,505,20000,meter_reading,actual
2026-10-29,Data Center,Operations,3100,515,20000,meter_reading,actual
2026-10-31,Data Center,Operations,3250,520,20000,meter_reading,actual
2026-10-31,Campus Total,All,100000,999,215000,subtotal,subtotal
2026-10-15,Science Hall,Lab,3800,440,70000,meter_reading,estimated
2026-10-31,Data Center,Operations,3600,540,20000,forecast,forecast
2026-09-24,Library North,Academic,2500,246,55000,old_period,old_period
2026-10-08,Test Bench,Internal,777,77,1,test,test
2026-10-22,Wellness Center,Student,1900,210,42000,manual_note,draft
2026-10-29,Arts Annex,Academic,1200,130,28000,meter_reading,estimated
2026-10-01,Library North,Academic,8000,800,55000,subtotal,subtotal
2026-11-01,Data Center,Operations,3400,530,20000,old_period,old_period
2026-10-15,Contractor Demo,Internal,600,60,1,demo,demo
2026-10-22,Campus Forecast,All,12000,1100,215000,forecast,forecast
2026-10-31,Science Hall,Lab,0,0,70000,cancelled,cancelled
