record_id,period_end,meter_id,raw_kwh,peak_kw,reading_basis,ledger_state,quality_status,record_role,review_cycle,revision_no
R00290,2026-10-10,M-220,1578.312,211.789,interval_meter,posted,approved,operational,OCT-2026,1
R00045,2026-08-15,M-215,1482.852,206.402,interval_meter,posted,approved,operational,BASELINE-2026,1
R00322,2026-10-17,M-222,2517.097,395.699,interval_meter,posted,approved,operational,OCT-2026,1
R00232,2026-09-26,M-222,2517.595,340.932,interval_meter,posted,approved,operational,BASELINE-2026,1
R00416,2026-10-17,M-223,5259,721,interval_meter,posted,approved,reference,OCT-2026,5
R00058,2026-08-15,M-228,1593.606,246.083,interval_meter,posted,approved,operational,BASELINE-2026,1
R00198,2026-09-19,M-218,2865.09,402.786,interval_meter,posted,approved,operational,BASELINE-2026,1
R00159,2026-09-12,M-209,2423.729,236.077,interval_meter,posted,approved,operational,BASELINE-2026,1
R00194,2026-09-19,M-214,2579.681,371.554,interval_meter,posted,approved,operational,BASELINE-2026,1
R00151,2026-09-12,M-201,3177.189,296.436,interval_meter,posted,approved,operational,BASELINE-2026,1
R00404,2026-08-15,M-222,2828.93,352.335,interval_meter,posted,approved,operational,BASELINE-2026,1
R00346,2026-10-24,M-216,3549.91,471.204,interval_meter,posted,approved,operational,OCT-2026,1
R00216,2026-09-26,M-206,2045.187,286.579,interval_meter,posted,approved,operational,BASELINE-2026,1
R00158,2026-09-12,M-208,2572.475,348.867,interval_meter,posted,approved,operational,BASELINE-2026,1
R00386,2026-10-31,M-226,1532.54,281.605,interval_meter,posted,approved,operational,OCT-2026,1
R00120,2026-08-29,M-230,2374.592,403.135,interval_meter,posted,approved,operational,BASELINE-2026,2
R00056,2026-08-15,M-226,1414.563,207.825,interval_meter,posted,approved,operational,BASELINE-2026,1
R00023,2026-08-08,M-223,3063.136,372.702,interval_meter,posted,approved,operational,BASELINE-2026,1
R00218,2026-09-26,M-208,2498.269,337.238,interval_meter,posted,approved,operational,BASELINE-2026,1
R00253,2026-10-03,M-213,1664.74,246.425,interval_meter,posted,approved,operational,OCT-2026,1
R00021,2026-08-08,M-221,827.54,120.091,interval_meter,posted,approved,operational,BASELINE-2026,1
R00432,2026-10-24,M-215,5851,769,interval_meter,posted,approved,reference,OCT-2026,5
R00171,2026-09-12,M-221,915.576,138.567,interval_meter,posted,approved,operational,BASELINE-2026,1
R00454,2026-10-10,M-231,4200,610,interval_meter,posted,approved,operational,OCT-2026,1
R00128,2026-09-05,M-208,2523.004,341.115,interval_meter,posted,approved,operational,BASELINE-2026,1
R00384,2026-10-31,M-224,3197.965,411.792,interval_meter,posted,approved,operational,OCT-2026,1
R00243,2026-10-03,M-203,1621.636,165.943,interval_meter,posted,approved,operational,OCT-2026,1
R00437,2026-09-05,M-202,5148,712,interval_meter,pending,approved,operational,BASELINE-2026,5
R00358,2026-10-24,M-228,1929.085,323.443,interval_meter,posted,approved,operational,OCT-2026,1
R00214,2026-09-26,M-204,2133.159,247.135,interval_meter,posted,approved,operational,BASELINE-2026,1
R00206,2026-09-19,M-226,1502.062,228.35,interval_meter,posted,approved,operational,BASELINE-2026,1
R00418,2026-10-31,M-207,5333,727,estimated,posted,approved,operational,OCT-2026,5
R00103,2026-08-29,M-213,1926.782,238.38,interval_meter,posted,approved,operational,BASELINE-2026,2
R00180,2026-09-12,M-230,2469.576,421.886,interval_meter,posted,approved,operational,BASELINE-2026,1
R00286,2026-10-10,M-216,3274.189,422.626,interval_meter,posted,approved,operational,OCT-2026,1
R00164,2026-09-12,M-214,2604.726,375.729,interval_meter,posted,approved,operational,BASELINE-2026,1
R00260,2026-10-03,M-220,1495.243,197.182,interval_meter,posted,approved,operational,OCT-2026,1
R00092,2026-08-29,M-202,2725.89,286.565,interval_meter,posted,approved,operational,BASELINE-2026,1
R00362,2026-10-31,M-202,3634.702,365.724,interval_meter,posted,approved,operational,OCT-2026,1
R00116,2026-08-29,M-226,1458.312,220.653,interval_meter,posted,approved,operational,BASELINE-2026,1
R00354,2026-10-24,M-224,2914.96,399.438,interval_meter,posted,approved,operational,OCT-2026,1
R00442,2026-08-15,M-207,5333,727,estimated,posted,approved,operational,BASELINE-2026,5
R00318,2026-10-17,M-218,2946.592,456.984,interval_meter,posted,approved,operational,OCT-2026,1
R00131,2026-09-05,M-211,2592.375,348.769,interval_meter,posted,approved,operational,BASELINE-2026,1
R00324,2026-10-17,M-224,2801.757,378.849,interval_meter,posted,approved,operational,OCT-2026,1
R00305,2026-10-17,M-205,1919.712,239.583,interval_meter,posted,approved,operational,OCT-2026,1
R00409,2026-10-03,M-204,5000,700,interval_meter,pending,approved,operational,OCT-2026,5
R00150,2026-09-05,M-230,2422.084,412.511,interval_meter,posted,approved,operational,BASELINE-2026,1
R00239,2026-09-26,M-229,1056.557,168.298,interval_meter,posted,approved,operational,BASELINE-2026,1
R00444,2026-08-29,M-221,5407,733,interval_meter,posted,approved,reference,BASELINE-2026,5
R00220,2026-09-26,M-210,1918.098,185.964,interval_meter,posted,approved,operational,BASELINE-2026,1
R00184,2026-09-19,M-204,2175.4,252.817,interval_meter,posted,approved,operational,BASELINE-2026,1
R00474,2026-11-07,M-202,4000,500,interval_meter,posted,approved,operational,NOV-2026,1
R00041,2026-08-15,M-211,2465.298,321.026,interval_meter,posted,approved,operational,BASELINE-2026,1
R00376,2026-10-31,M-216,3894.561,485.777,interval_meter,posted,approved,operational,OCT-2026,1
R00473,2026-11-07,M-201,4000,500,interval_meter,posted,approved,operational,NOV-2026,1
R00334,2026-10-24,M-204,2262.416,302.424,interval_meter,posted,approved,operational,OCT-2026,1
R00119,2026-08-29,M-229,1046.096,166.363,interval_meter,posted,approved,operational,BASELINE-2026,1
R00248,2026-10-03,M-208,2292.965,344.613,interval_meter,posted,approved,operational,OCT-2026,2
R00441,2026-08-08,M-230,5296,724,interval_meter,pending,approved,operational,BASELINE-2026,5
R00200,2026-09-19,M-220,1306.277,197.399,interval_meter,posted,approved,operational,BASELINE-2026,1
R00394,2026-10-10,M-217,2366.025,327.519,interval_meter,posted,approved,operational,OCT-2026,1
R00054,2026-08-15,M-224,2018.497,303.902,interval_meter,posted,approved,operational,BASELINE-2026,1
R00160,2026-09-12,M-210,1975.071,192.377,interval_meter,posted,approved,operational,BASELINE-2026,1
