meter_id,meter_multiplier,valid_from,valid_to,calibration_status,calibration_version
M-201,0.982,2026-01-01,2026-12-31,approved,FY2026-R2
M-202,0.9861,2026-01-01,2026-12-31,approved,FY2026-R2
M-203,0.9902,2026-01-01,2026-12-31,approved,FY2026-R2
M-204,0.9943,2026-01-01,2026-12-31,approved,FY2026-R2
M-205,0.9984,2026-01-01,2026-12-31,approved,FY2026-R2
M-206,1.0025,2026-01-01,2026-12-31,approved,FY2026-R2
M-207,1.0066,2026-01-01,2026-12-31,approved,FY2026-R2
M-208,1.0107,2026-01-01,2026-12-31,approved,FY2026-R2
M-209,1.0148,2026-01-01,2026-12-31,approved,FY2026-R2
M-210,1.0189,2026-01-01,2026-12-31,approved,FY2026-R2
M-211,1.023,2026-01-01,2026-12-31,approved,FY2026-R2
M-212,0.982,2026-01-01,2026-12-31,approved,FY2026-R2
M-213,0.9861,2026-01-01,2026-12-31,approved,FY2026-R2
M-214,0.9902,2026-01-01,2026-12-31,approved,FY2026-R2
M-215,0.9943,2026-01-01,2026-12-31,approved,FY2026-R2
M-216,0.9984,2026-01-01,2026-12-31,approved,FY2026-R2
M-217,1.0025,2026-01-01,2026-12-31,approved,FY2026-R2
M-218,1.0066,2026-01-01,2026-12-31,approved,FY2026-R2
M-219,1.0107,2026-01-01,2026-12-31,approved,FY2026-R2
M-220,1.0148,2026-01-01,2026-12-31,approved,FY2026-R2
M-221,1.0189,2026-01-01,2026-12-31,approved,FY2026-R2
M-222,1.023,2026-01-01,2026-12-31,approved,FY2026-R2
M-223,0.982,2026-01-01,2026-12-31,approved,FY2026-R2
M-224,0.9861,2026-01-01,2026-12-31,approved,FY2026-R2
M-225,0.9902,2026-01-01,2026-12-31,approved,FY2026-R2
M-226,0.9943,2026-01-01,2026-12-31,approved,FY2026-R2
M-227,0.9984,2026-01-01,2026-12-31,approved,FY2026-R2
M-228,1.0025,2026-01-01,2026-12-31,approved,FY2026-R2
M-229,1.0066,2026-01-01,2026-12-31,approved,FY2026-R2
M-230,1.0107,2026-01-01,2026-12-31,approved,FY2026-R2
M-231,1.0,2026-01-01,2026-12-31,approved,FY2026-R2
M-232,1.0,2026-01-01,2026-12-31,approved,FY2026-R2
M-190,1.0,2026-01-01,2026-12-31,approved,FY2026-R2
M-191,1.0,2026-01-01,2026-12-31,approved,FY2026-R2
M-201,1.042,2027-01-01,2027-12-31,draft,FY2027-DRAFT
M-202,1.0461,2027-01-01,2027-12-31,draft,FY2027-DRAFT
M-203,1.0502,2027-01-01,2027-12-31,draft,FY2027-DRAFT
M-204,1.0543,2027-01-01,2027-12-31,draft,FY2027-DRAFT
M-205,1.0584,2027-01-01,2027-12-31,draft,FY2027-DRAFT
M-206,1.0625,2027-01-01,2027-12-31,draft,FY2027-DRAFT
M-207,0.9766,2025-01-01,2025-12-31,expired,FY2025-R4
M-208,0.9807,2025-01-01,2025-12-31,expired,FY2025-R4
M-209,0.9848,2025-01-01,2025-12-31,expired,FY2025-R4
M-210,0.9889,2025-01-01,2025-12-31,expired,FY2025-R4
M-211,0.993,2025-01-01,2025-12-31,expired,FY2025-R4
M-212,0.952,2025-01-01,2025-12-31,expired,FY2025-R4
