meter_id,facility_id,meter_role,active_from,active_to,mapping_state
M-201,F01,primary,2026-01-01,2026-12-31,active
M-202,F02,primary,2026-01-01,2026-12-31,active
M-203,F02,auxiliary,2026-01-01,2026-12-31,active
M-204,F03,primary,2026-01-01,2026-12-31,active
M-205,F04,primary,2026-01-01,2026-12-31,active
M-206,F05,primary,2026-01-01,2026-12-31,active
M-207,F05,auxiliary,2026-01-01,2026-12-31,active
M-208,F06,primary,2026-01-01,2026-12-31,active
M-209,F07,primary,2026-01-01,2026-12-31,active
M-210,F07,auxiliary,2026-01-01,2026-12-31,active
M-211,F08,primary,2026-01-01,2026-12-31,active
M-212,F09,primary,2026-01-01,2026-12-31,active
M-213,F10,primary,2026-01-01,2026-12-31,active
M-214,F11,primary,2026-01-01,2026-12-31,active
M-215,F11,auxiliary,2026-01-01,2026-12-31,active
M-216,F12,primary,2026-01-01,2026-12-31,active
M-217,F13,primary,2026-01-01,2026-12-31,active
M-218,F14,primary,2026-01-01,2026-12-31,active
M-219,F15,primary,2026-01-01,2026-12-31,active
M-220,F15,auxiliary,2026-01-01,2026-12-31,active
M-221,F15,auxiliary,2026-01-01,2026-12-31,active
M-222,F16,primary,2026-01-01,2026-12-31,active
M-223,F17,primary,2026-01-01,2026-12-31,active
M-224,F18,primary,2026-01-01,2026-12-31,active
M-225,F18,auxiliary,2026-01-01,2026-12-31,active
M-226,F19,primary,2026-01-01,2026-12-31,active
M-227,F20,primary,2026-01-01,2026-12-31,active
M-228,F21,primary,2026-01-01,2026-12-31,active
M-229,F21,auxiliary,2026-01-01,2026-12-31,active
M-230,F22,primary,2026-01-01,2026-12-31,active
M-231,F23,primary,2026-01-01,2026-12-31,active
M-232,F24,primary,2026-01-01,2026-12-31,active
M-190,F02,legacy,2025-01-01,2026-07-31,retired
M-191,F15,legacy,2025-01-01,2026-08-31,retired
