application_id,checked_at,revision_no,packet_status,budget_attachment_status,site_authorization_status,review_team
A26-5045,2026-03-26T09:30-07:00,1,complete,revision_requested,verified,intake_c
A26-1004,2026-03-12T14:15-07:00,1,complete,approved,verified,intake_b
A26-0600,2026-03-21T11:00-07:00,1,complete,approved,not_required,intake_c
A26-5063,2026-03-09T10:15-07:00,1,complete,approved,verified,intake_a
A26-0841,2026-03-17T13:30-07:00,1,complete,approved,verified,intake_c
A26-6752,2026-03-10T13:30-07:00,1,complete,approved,not_required,intake_a
A26-4985,2026-02-28T12:30-07:00,1,complete,approved,pending,intake_c
A26-4873,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-2244,2026-03-09T14:15-07:00,1,complete,approved,verified,intake_c
A26-5143,2026-03-01T16:00-07:00,1,incomplete,approved,verified,intake_b
A26-5031,2026-03-02T13:00-07:00,1,complete,missing,verified,intake_a
A26-5182,2026-03-21T11:00-07:00,1,complete,approved,verified,intake_a
A26-9295,2026-02-23T15:00-07:00,1,complete,missing,verified,intake_b
A26-0003,2026-03-22T12:15-07:00,2,complete,approved,verified,intake_b
A26-5112,2026-03-09T14:15-07:00,1,complete,approved,verified,intake_a
A26-5169,2026-03-22T09:00-07:00,1,complete,approved,not_required,intake_c
A26-5139,2026-03-16T16:45-07:00,1,complete,approved,verified,intake_b
A26-5164,2026-03-12T15:15-07:00,1,needs_followup,approved,not_required,intake_a
A26-5021,2026-03-17T11:00-07:00,1,complete,missing,verified,intake_a
A26-4218,2026-02-20T16:30-07:00,1,incomplete,approved,not_required,intake_c
A26-5007,2026-03-22T15:00-07:00,2,complete,approved,verified,intake_b
A26-4506,2026-03-15T15:45-07:00,1,complete,approved,verified,intake_b
A26-4687,2026-03-14T13:45-07:00,1,complete,approved,not_required,intake_c
A26-5158,2026-03-01T16:15-07:00,1,complete,approved,pending,intake_a
A26-6129,2026-03-09T13:00-07:00,1,complete,approved,not_required,intake_a
A26-2493,2026-03-22T16:30-07:00,1,complete,revision_requested,verified,intake_c
A26-9316,2026-03-06T09:30-07:00,1,complete,approved,pending,intake_b
A26-9984,2026-03-05T14:30-07:00,1,complete,missing,not_required,intake_b
A26-4971,2026-03-01T09:15-07:00,1,complete,approved,pending,intake_a
A26-5008,2026-03-21T09:45-07:00,1,complete,approved,not_required,intake_c
A26-5087,2026-03-21T11:15-07:00,1,complete,approved,not_required,intake_b
A26-8910,2026-03-06T14:45-07:00,1,incomplete,approved,not_required,intake_b
A26-4333,2026-03-11T15:45-07:00,1,complete,missing,verified,intake_c
A26-2542,2026-03-15T16:45-07:00,1,complete,approved,pending,intake_b
A26-7367,2026-03-08T15:15-07:00,2,complete,approved,verified,intake_b
A26-6129,2026-02-22T13:00-07:00,1,complete,missing,not_required,intake_b
A26-5017,2026-03-15T16:15-07:00,1,complete,approved,not_required,intake_c
A26-8862,2026-03-16T15:15-07:00,1,complete,approved,verified,intake_a
A26-9486,2026-03-02T14:45-07:00,1,complete,approved,pending,intake_b
A26-4737,2026-03-22T14:30-07:00,1,complete,approved,verified,intake_b
A26-5038,2026-02-28T11:45-07:00,1,complete,approved,pending,intake_c
A26-7110,2026-03-11T16:00-07:00,1,needs_followup,approved,verified,intake_c
A26-3426,2026-03-14T10:30-07:00,1,needs_followup,approved,verified,intake_c
A26-5159,2026-03-18T10:00-07:00,1,incomplete,approved,verified,intake_c
A26-5078,2026-03-08T09:30-07:00,1,complete,approved,verified,intake_b
A26-1579,2026-03-07T09:45-07:00,1,complete,missing,not_required,intake_a
A26-5078,2026-03-05T09:30-07:00,1,incomplete,approved,verified,intake_b
A26-5069,2026-03-21T11:45-07:00,1,complete,approved,verified,intake_a
A26-8457,2026-03-01T13:15-07:00,1,incomplete,approved,not_required,intake_c
A26-4218,2026-03-09T16:30-07:00,1,complete,approved,not_required,intake_b
A26-0622,2026-03-05T09:15-07:00,1,incomplete,approved,verified,intake_b
A26-2275,2026-03-08T13:45-07:00,1,incomplete,approved,verified,intake_b
A26-1357,2026-03-16T11:45-07:00,1,needs_followup,approved,not_required,intake_c
A26-5077,2026-03-15T09:30-07:00,1,complete,approved,not_required,intake_b
A26-4993,2026-03-08T12:00-07:00,1,complete,approved,verified,intake_a
A26-3405,2026-03-22T11:00-07:00,2,complete,approved,not_required,intake_c
A26-5164,2026-02-21T15:15-07:00,1,incomplete,approved,not_required,intake_b
A26-7082,2026-03-22T09:45-07:00,2,complete,approved,verified,intake_c
A26-5055,2026-02-25T11:45-07:00,1,complete,approved,pending,intake_a
A26-7725,2026-03-18T15:30-07:00,1,complete,approved,not_required,intake_a
A26-6617,2026-03-12T10:45-07:00,1,complete,approved,not_required,intake_b
A26-9269,2026-03-06T12:00-07:00,1,complete,approved,verified,intake_b
A26-2606,2026-03-18T16:30-07:00,1,complete,approved,verified,intake_b
A26-4060,2026-03-09T12:45-07:00,1,complete,approved,verified,intake_c
A26-4010,2026-03-09T16:00-07:00,1,complete,approved,not_required,intake_c
A26-7082,2026-03-22T09:45-07:00,1,needs_followup,approved,verified,intake_b
A26-8259,2026-03-26T09:30-07:00,1,needs_followup,approved,verified,intake_c
A26-5129,2026-03-01T09:00-07:00,1,incomplete,approved,verified,intake_c
