organization_id,effective_at,revision_no,public_name,registration_status,tax_clearance,conflict_review,insurance_status
ORG-0343,2026-03-14T12:15-07:00,1,Elmwood Climate Partnership,active,clear,cleared,current
ORG-0456,2026-03-11T13:45-07:00,1,Glen Community Development Network,active,clear,cleared,current
ORG-0331,2026-03-21T12:30-07:00,1,Juniper Neighborhood Partnership,active,clear,cleared,current
ORG-0032,2026-02-11T13:15-07:00,1,Union Resident Council,active,pending,cleared,current
ORG-0064,2026-03-13T10:30-07:00,1,Yorktown Civic Collaborative,active,pending,cleared,current
ORG-0477,2026-03-27T10:00-07:00,1,Lincoln Housing Cooperative,active,pending,cleared,current
ORG-0229,2026-03-10T16:15-07:00,1,Meadow Housing Cooperative,active,clear,cleared,current
ORG-0087,2026-03-15T12:45-07:00,1,Union Resident Council,active,clear,cleared,current
ORG-0445,2026-03-11T13:00-07:00,1,Lakeside Climate Partnership,active,clear,cleared,current
ORG-0279,2026-03-12T11:45-07:00,1,Stonebridge Housing Cooperative,active,clear,cleared,current
ORG-0213,2026-03-02T13:30-07:00,1,Westhaven Civic Collaborative,active,clear,review_open,current
ORG-0351,2026-03-27T10:00-07:00,1,Meadow Community Development Network,active,clear,review_open,current
ORG-0125,2026-03-22T16:15-07:00,1,Maplewood Community Development Network,active,clear,review_open,current
ORG-0407,2026-03-12T10:30-07:00,1,Grand Civic Collaborative,renewal_pending,clear,cleared,current
ORG-0410,2026-03-18T14:00-07:00,1,Fairview Climate Partnership,active,clear,cleared,current
ORG-0332,2026-02-26T09:30-07:00,1,Lakeside Community Land Trust,active,clear,review_open,current
ORG-0396,2026-03-12T13:45-07:00,1,Kingsley Civic Collaborative,active,clear,cleared,current
ORG-0264,2026-03-16T16:15-07:00,1,Rosewood Civic Collaborative,renewal_pending,clear,cleared,current
ORG-0425,2026-03-06T14:15-07:00,1,Lakewood Climate Partnership,active,clear,review_open,current
ORG-0470,2026-03-01T10:45-07:00,1,Grand Resident Council,active,pending,cleared,current
ORG-0130,2026-03-13T10:00-07:00,1,Redwood Climate Partnership,active,clear,review_open,current
ORG-0209,2026-03-05T10:00-07:00,1,University Community Development Network,active,pending,cleared,current
ORG-0147,2026-02-18T16:00-07:00,1,Magnolia Resident Council,active,pending,cleared,current
ORG-0091,2026-02-11T15:00-07:00,1,Spring Resident Council,active,clear,review_open,current
ORG-0257,2026-02-21T10:45-07:00,1,Belmont Community Development Network,renewal_pending,clear,cleared,current
ORG-0061,2026-03-03T16:15-07:00,1,Franklin Housing Cooperative,active,clear,review_open,current
ORG-0419,2026-03-20T14:00-07:00,1,Lakewood Housing Cooperative,active,clear,cleared,current
ORG-0341,2026-02-14T09:30-07:00,1,Kingsley Climate Partnership,active,clear,cleared,expired
ORG-0011,2026-03-27T10:00-07:00,1,Ashland Community Association,renewal_pending,clear,cleared,current
ORG-0105,2026-03-15T13:45-07:00,1,Kingston Climate Partnership,active,pending,cleared,current
ORG-0121,2026-02-24T14:15-07:00,1,Franklin Community Development Network,active,clear,cleared,expired
ORG-0432,2026-03-14T12:30-07:00,1,Northgate Housing Cooperative,active,pending,cleared,current
ORG-0083,2026-03-02T10:30-07:00,1,Quarry Civic Collaborative,active,clear,review_open,current
ORG-0003,2026-03-18T11:15-07:00,1,Eastwood Neighborhood Alliance,active,clear,cleared,current
ORG-0469,2026-03-22T13:00-07:00,1,West Civic Collaborative,active,clear,cleared,current
ORG-0370,2026-03-11T11:00-07:00,1,Elmwood Community Development Network,renewal_pending,clear,cleared,current
ORG-0261,2026-02-24T11:00-07:00,1,Redwood Neighborhood Alliance,active,pending,cleared,current
ORG-0223,2026-02-07T11:15-07:00,1,Pinehurst Climate Partnership,active,pending,cleared,current
ORG-0040,2026-03-03T11:45-07:00,1,Ashland Neighborhood Alliance,active,clear,cleared,expired
ORG-0465,2026-03-12T09:45-07:00,1,Northgate Resident Council,active,clear,cleared,current
ORG-0280,2026-02-10T14:45-07:00,1,Lakeside Civic Collaborative,active,clear,cleared,current
ORG-0434,2026-03-20T12:15-07:00,1,Yorktown Climate Partnership,active,clear,cleared,current
ORG-0185,2026-03-27T10:00-07:00,1,Riverbend Housing Cooperative,active,pending,cleared,current
ORG-0138,2026-03-11T11:30-07:00,1,Juniper Housing Cooperative,active,clear,cleared,current
ORG-0235,2026-03-18T13:15-07:00,1,Juniper Housing Cooperative,active,clear,cleared,current
ORG-0015,2026-03-27T10:00-07:00,1,Lakeside Resident Council,active,pending,cleared,current
ORG-0388,2026-03-14T14:30-07:00,1,Claremont Civic Collaborative,active,clear,cleared,current
ORG-0149,2026-02-25T13:00-07:00,1,South Market Shade Partnership,active,clear,cleared,current
ORG-0129,2026-03-08T12:00-07:00,1,Oak Resident Council,active,clear,cleared,expired
ORG-0218,2026-02-24T09:00-07:00,1,Parkview Neighborhood Services,active,clear,cleared,expired
ORG-0448,2026-03-19T12:30-07:00,1,Willow Climate Partnership,active,clear,cleared,expired
ORG-0147,2026-03-27T10:00-07:00,1,Magnolia Resident Council,renewal_pending,clear,cleared,current
ORG-0377,2026-03-20T09:15-07:00,1,Hillcrest Civic Collaborative,active,clear,cleared,current
ORG-0129,2026-02-22T12:00-07:00,1,Oak Resident Council,active,clear,cleared,current
ORG-0351,2026-03-16T14:15-07:00,1,Meadow Community Development Network,renewal_pending,clear,cleared,current
ORG-0121,2026-03-21T14:15-07:00,1,Franklin Community Development Network,active,clear,cleared,current
ORG-0146,2026-02-24T12:15-07:00,1,Highland Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0272,2026-03-13T10:30-07:00,1,Willow Creek Housing Network,active,clear,cleared,current
ORG-0175,2026-03-07T15:45-07:00,1,Meadow Resident Council,active,pending,cleared,current
ORG-0231,2026-03-09T09:30-07:00,1,Crescent Housing Cooperative,active,clear,cleared,current
ORG-0156,2026-03-19T09:00-07:00,1,Brighton Community Association,active,clear,cleared,current
ORG-0162,2026-03-03T14:45-07:00,1,Cedar Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0188,2026-03-27T10:00-07:00,1,Yorktown Community Development Network,renewal_pending,clear,cleared,current
ORG-0418,2026-02-20T12:00-07:00,1,Fairview Climate Partnership,active,clear,cleared,expired
ORG-0356,2026-03-17T11:00-07:00,1,Civic Housing Cooperative,active,clear,cleared,current
ORG-0068,2026-03-27T10:00-07:00,1,Lakeside Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0131,2026-03-27T10:00-07:00,1,Meadow Housing Cooperative,active,clear,review_open,current
ORG-0389,2026-03-19T13:30-07:00,1,Cedar Neighborhood Alliance,active,clear,cleared,current
ORG-0226,2026-03-14T10:30-07:00,1,Crescent Housing Cooperative,active,clear,cleared,current
ORG-0077,2026-03-12T10:30-07:00,1,Westhaven Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0032,2026-03-15T13:15-07:00,1,Union Resident Council,active,pending,cleared,current
ORG-0135,2026-03-12T12:30-07:00,1,Oak Housing Cooperative,active,clear,cleared,current
ORG-0392,2026-03-13T12:45-07:00,1,Harborview Neighborhood Alliance,active,clear,cleared,current
ORG-0057,2026-02-17T10:30-07:00,1,Prairie Community Association,active,pending,cleared,current
ORG-0176,2026-02-25T11:45-07:00,1,Ashland Housing Cooperative,renewal_pending,clear,cleared,current
ORG-0240,2026-03-14T15:30-07:00,1,Redwood Resident Council,active,clear,cleared,current
ORG-0401,2026-03-17T12:45-07:00,1,Kingsley Community Association,active,clear,cleared,current
