application_id,review_stage,review_status,score,community_priority,equity_score,reviewed_at,review_version,panel_code
A26-2711,final,complete,99,99,98,2026-03-22T16:40-07:00,1,P-D
A26-5097,screening,complete,72,83,68,2026-03-06T11:00-08:00,1,P-A
A26-4138,screening,complete,97,96,85,2026-03-03T14:00-08:00,1,P-B
A26-4951,final,complete,78,84,95,2026-03-18T09:00-07:00,1,P-D
A26-2807,final,pending,84,73,93,2026-03-15T13:00-07:00,2,P-D
A26-5178,final,complete,71,79,91,2026-03-23T16:40-07:00,1,P-B
A26-6289,final,complete,87,94,87,2026-03-21T11:00-07:00,1,P-D
A26-1158,screening,complete,66,80,85,2026-03-01T09:00-08:00,1,P-A
A26-1847,final,complete,96,95,93,2026-03-21T12:40-07:00,2,P-C
A26-5000,final,complete,88,74,78,2026-03-22T16:20-07:00,1,P-A
A26-0003,final,complete,69,72,87,2026-03-21T09:40-07:00,1,P-C
A26-5001,final,complete,81,85,83,2026-03-12T11:20-07:00,1,P-D
A26-4142,final,complete,73,74,72,2026-03-12T15:20-07:00,2,P-A
A26-5121,final,complete,80,87,82,2026-03-23T17:20-07:00,2,P-C
A26-4829,final,complete,83,89,71,2026-03-22T10:20-07:00,1,P-C
A26-7110,screening,complete,80,70,71,2026-03-05T16:00-08:00,1,P-D
A26-3907,screening,complete,72,88,79,2026-03-07T15:00-08:00,1,P-D
A26-3907,final,complete,89,84,74,2026-03-22T11:20-07:00,1,P-A
A26-5009,screening,complete,59,77,81,2026-03-02T13:00-08:00,1,P-B
A26-9230,final,complete,91,97,72,2026-03-20T15:00-07:00,1,P-A
A26-5107,final,complete,82,75,96,2026-03-16T12:20-07:00,1,P-D
A26-5178,screening,complete,88,75,74,2026-03-04T09:00-08:00,1,P-A
A26-9872,screening,complete,55,66,76,2026-03-06T11:00-08:00,1,P-C
A26-8229,screening,complete,98,87,69,2026-03-04T09:00-08:00,1,P-C
A26-6312,screening,complete,65,97,61,2026-03-04T14:00-08:00,1,P-C
A26-5114,final,complete,85,83,87,2026-03-13T13:00-07:00,1,P-C
A26-5182,final,complete,80,81,89,2026-03-18T16:00-07:00,1,P-D
A26-0126,final,complete,83,89,92,2026-03-15T09:40-07:00,1,P-A
A26-5131,final,complete,79,88,82,2026-03-19T17:40-07:00,1,P-A
A26-5060,final,complete,88,82,84,2026-03-13T12:40-07:00,1,P-C
A26-5170,screening,complete,85,76,86,2026-03-05T11:00-08:00,1,P-A
A26-4138,final,complete,77,74,91,2026-03-28T11:00-07:00,1,P-D
A26-2211,final,complete,84,99,79,2026-03-16T17:20-07:00,1,P-B
A26-2026,final,complete,91,90,85,2026-03-19T12:00-07:00,1,P-C
A26-3069,screening,complete,80,65,85,2026-03-06T15:00-08:00,1,P-B
A26-5112,final,complete,93,73,75,2026-03-18T12:40-07:00,2,P-D
A26-6064,screening,complete,96,82,74,2026-03-04T11:00-08:00,1,P-D
A26-0399,screening,complete,95,92,60,2026-03-02T13:00-08:00,1,P-D
