manifest_id,rule_key,recorded_at,revision_no,rule_state,apply_order,action,target_kind,target_name,relationship_parent,relationship_child,foreign_key,replacement_value,note
VPM-0630-C,VP-101,2026-06-30T16:18:00,6,DRAFT,10,HIDE_ENTITY,entity,Request Commitment Event,,,,,Earlier draft; not controlling
VPM-0630-C,VP-101,2026-06-30T16:22:00,7,INACTIVE,10,HIDE_ENTITY,entity,Request Commitment Event,,,,,Same-timestamp lower revision
VPM-0630-C,VP-101,2026-06-30T16:22:00,8,ACTIVE,10,HIDE_ENTITY,entity,Request Commitment Event,,,,,Controlling revision
VPM-0630-C,VP-101,2026-06-30T16:31:00,9,ACTIVE,10,SHOW_ENTITY,entity,Request Commitment Event,,,,Request Commitment Event,Post-cutoff row; ignore
VPM-0630-C,VP-102,2026-06-30T16:18:00,6,DRAFT,20,HIDE_ENTITY,entity,Skill,,,,,Earlier draft; not controlling
VPM-0630-C,VP-102,2026-06-30T16:22:00,7,INACTIVE,20,HIDE_ENTITY,entity,Skill,,,,,Same-timestamp lower revision
VPM-0630-C,VP-102,2026-06-30T16:22:00,8,ACTIVE,20,HIDE_ENTITY,entity,Skill,,,,,Controlling revision
VPM-0630-C,VP-102,2026-06-30T16:31:00,9,ACTIVE,20,SHOW_ENTITY,entity,Skill,,,,Skill,Post-cutoff row; ignore
VPM-0630-C,VP-103,2026-06-30T16:18:00,6,DRAFT,30,HIDE_ENTITY,entity,Technician Skill,,,,,Earlier draft; not controlling
VPM-0630-C,VP-103,2026-06-30T16:22:00,7,INACTIVE,30,HIDE_ENTITY,entity,Technician Skill,,,,,Same-timestamp lower revision
VPM-0630-C,VP-103,2026-06-30T16:22:00,8,ACTIVE,30,HIDE_ENTITY,entity,Technician Skill,,,,,Controlling revision
VPM-0630-C,VP-103,2026-06-30T16:31:00,9,ACTIVE,30,SHOW_ENTITY,entity,Technician Skill,,,,Technician Skill,Post-cutoff row; ignore
VPM-0630-C,VP-104,2026-06-30T16:18:00,6,DRAFT,40,RENAME_ENTITY,entity,Customer Contact,,,,Client Contact,Earlier draft; not controlling
VPM-0630-C,VP-104,2026-06-30T16:22:00,7,ACTIVE,40,RENAME_ENTITY,entity,Customer Contact,,,,Client Contact,Same-timestamp lower revision
VPM-0630-C,VP-104,2026-06-30T16:22:00,8,ACTIVE,40,RENAME_ENTITY,entity,Customer Contact,,,,Service Contact,Controlling revision
VPM-0630-C,VP-104,2026-06-30T16:31:00,9,ACTIVE,40,RENAME_ENTITY,entity,Customer Contact,,,,Client Contact,Post-cutoff row; ignore
VPM-0630-C,VP-105,2026-06-30T16:18:00,6,DRAFT,50,HIDE_RELATIONSHIP,relationship,,Service Agreement,Service Request,agreement_id,,Earlier draft; not controlling
VPM-0630-C,VP-105,2026-06-30T16:22:00,7,INACTIVE,50,HIDE_RELATIONSHIP,relationship,,Service Agreement,Service Request,agreement_id,,Same-timestamp lower revision
VPM-0630-C,VP-105,2026-06-30T16:22:00,8,ACTIVE,50,HIDE_RELATIONSHIP,relationship,,Service Agreement,Service Request,agreement_id,,Controlling revision
VPM-0630-C,VP-105,2026-06-30T16:31:00,9,ACTIVE,50,SHOW_RELATIONSHIP,relationship,,Service Agreement,Service Request,agreement_id,,Post-cutoff row; ignore
VPM-0630-C,VP-106,2026-06-30T16:18:00,6,DRAFT,60,RENAME_ENTITY,entity,Request Coverage Decision,,,,Coverage Assessment,Earlier draft; not controlling
VPM-0630-C,VP-106,2026-06-30T16:22:00,7,ACTIVE,60,RENAME_ENTITY,entity,Request Coverage Decision,,,,Coverage Assessment,Same-timestamp lower revision
VPM-0630-C,VP-106,2026-06-30T16:22:00,8,ACTIVE,60,RENAME_ENTITY,entity,Request Coverage Decision,,,,Coverage Determination,Controlling revision
VPM-0630-C,VP-106,2026-06-30T16:31:00,9,ACTIVE,60,RENAME_ENTITY,entity,Request Coverage Decision,,,,Coverage Assessment,Post-cutoff row; ignore
VPM-0630-C,VP-107,2026-06-30T16:18:00,6,DRAFT,70,RENAME_FACT,fact,Request Coverage Decision,,,,coverage_status,Earlier draft; not controlling
VPM-0630-C,VP-107,2026-06-30T16:22:00,7,ACTIVE,70,RENAME_FACT,fact,Request Coverage Decision,,,,coverage_status,Same-timestamp lower revision
VPM-0630-C,VP-107,2026-06-30T16:22:00,8,ACTIVE,70,RENAME_FACT,fact,Request Coverage Decision,,,,coverage_outcome,Controlling revision
VPM-0630-C,VP-107,2026-06-30T16:31:00,9,ACTIVE,70,RENAME_FACT,fact,Request Coverage Decision,,,,coverage_status,Post-cutoff row; ignore
VPM-0630-C,VP-108,2026-06-30T16:18:00,6,DRAFT,80,RENAME_FACT,fact,Work Order Assignment,,,,assignment_type,Earlier draft; not controlling
VPM-0630-C,VP-108,2026-06-30T16:22:00,7,ACTIVE,80,RENAME_FACT,fact,Work Order Assignment,,,,assignment_type,Same-timestamp lower revision
VPM-0630-C,VP-108,2026-06-30T16:22:00,8,ACTIVE,80,RENAME_FACT,fact,Work Order Assignment,,,,assignment_function,Controlling revision
VPM-0630-C,VP-108,2026-06-30T16:31:00,9,ACTIVE,80,RENAME_FACT,fact,Work Order Assignment,,,,assignment_type,Post-cutoff row; ignore
VPM-0630-C,VP-109,2026-06-30T16:18:00,6,DRAFT,90,HIDE_ENTITY,entity,Visit Note,,,,,Earlier draft; not controlling
VPM-0630-C,VP-109,2026-06-30T16:22:00,7,INACTIVE,90,HIDE_ENTITY,entity,Visit Note,,,,,Same-timestamp lower revision
VPM-0630-C,VP-109,2026-06-30T16:22:00,8,ACTIVE,90,HIDE_ENTITY,entity,Visit Note,,,,,Controlling revision
VPM-0630-C,VP-109,2026-06-30T16:31:00,9,ACTIVE,90,SHOW_ENTITY,entity,Visit Note,,,,Visit Note,Post-cutoff row; ignore
VPM-0630-C,VP-110,2026-06-30T16:18:00,6,DRAFT,100,RENAME_ENTITY,entity,Work Order Checklist,,,,Work Close Checklist,Earlier draft; not controlling
VPM-0630-C,VP-110,2026-06-30T16:22:00,7,ACTIVE,100,RENAME_ENTITY,entity,Work Order Checklist,,,,Work Close Checklist,Same-timestamp lower revision
VPM-0630-C,VP-110,2026-06-30T16:22:00,8,ACTIVE,100,RENAME_ENTITY,entity,Work Order Checklist,,,,Work Completion Checklist,Controlling revision
VPM-0630-C,VP-110,2026-06-30T16:31:00,9,ACTIVE,100,RENAME_ENTITY,entity,Work Order Checklist,,,,Work Close Checklist,Post-cutoff row; ignore
VPM-0630-C,VP-111,2026-06-30T16:18:00,6,DRAFT,110,RENAME_FACT,fact,Visit Signature,,,,acceptor_role,Earlier draft; not controlling
VPM-0630-C,VP-111,2026-06-30T16:22:00,7,ACTIVE,110,RENAME_FACT,fact,Visit Signature,,,,acceptor_role,Same-timestamp lower revision
VPM-0630-C,VP-111,2026-06-30T16:22:00,8,ACTIVE,110,RENAME_FACT,fact,Visit Signature,,,,accepted_by_role,Controlling revision
VPM-0630-C,VP-111,2026-06-30T16:31:00,9,ACTIVE,110,RENAME_FACT,fact,Visit Signature,,,,acceptor_role,Post-cutoff row; ignore
VPM-0630-A,ARCH-001,2026-06-30T16:08:00,3,ACTIVE,201,RENAME_ENTITY,entity,Customer,,,,Customer Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-002,2026-06-30T16:09:00,4,ACTIVE,202,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-003,2026-06-30T16:10:00,5,ACTIVE,203,RENAME_ENTITY,entity,Service Agreement,,,,Service Agreement Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-004,2026-06-30T16:11:00,6,ACTIVE,204,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-005,2026-06-30T16:12:00,3,ACTIVE,205,RENAME_ENTITY,entity,Agreement Asset,,,,Agreement Asset Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-006,2026-06-30T16:13:00,4,ACTIVE,206,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-007,2026-06-30T16:14:00,5,ACTIVE,207,RENAME_ENTITY,entity,Technician,,,,Technician Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-008,2026-06-30T16:15:00,6,ACTIVE,208,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-009,2026-06-30T16:16:00,3,ACTIVE,209,RENAME_ENTITY,entity,Part,,,,Part Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-010,2026-06-30T16:17:00,4,ACTIVE,210,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-011,2026-06-30T16:18:00,5,ACTIVE,211,RENAME_ENTITY,entity,Time Entry,,,,Time Entry Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-012,2026-06-30T16:19:00,6,ACTIVE,212,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-013,2026-06-30T16:20:00,3,ACTIVE,213,RENAME_ENTITY,entity,Visit Signature,,,,Visit Signature Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-014,2026-06-30T16:21:00,4,ACTIVE,214,HIDE_RELATIONSHIP,relationship,,Invoice,Payment,payment_id,,"Archived, wrong audience, future, or wrong-scope manifest rule"
VPM-0630-A,ARCH-015,2026-06-30T16:22:00,5,ACTIVE,215,RENAME_ENTITY,entity,Invoice,,,,Invoice Review View,"Archived, wrong audience, future, or wrong-scope manifest rule"
