request_id,event_at,state,actor,note
CR-4801,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4801,2026-06-30T14:20:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4801,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4802,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4802,2026-06-30T14:28:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4802,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4803,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4803,2026-06-30T14:30:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4803,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4804,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4804,2026-06-30T14:31:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4804,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4805,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4805,2026-06-30T14:32:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4805,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4806,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4806,2026-06-30T14:38:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4806,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4807,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4807,2026-06-30T14:39:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4807,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4808,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4808,2026-06-30T14:40:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4808,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4809,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4809,2026-06-30T14:44:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4809,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4810,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4810,2026-06-30T14:45:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4810,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4811,2026-06-30T12:00:00,SUBMITTED,Architecture PMO,Registered
CR-4811,2026-06-30T14:46:00,APPROVED,Change Control Board,Approved for controlled bundle
CR-4811,2026-06-30T15:10:00,IMPLEMENTATION_READY,Release Engineering,Validated for bundle application
CR-4812,2026-06-30T12:10:00,SUBMITTED,Billing Architecture,Registered
CR-4812,2026-06-30T14:15:00,APPROVED,Change Control Board,Conditional approval
CR-4812,2026-06-30T15:45:00,WITHDRAWN,Billing Architecture,Settlement design withdrawn before control cutoff
CR-4813,2026-06-30T12:12:00,SUBMITTED,Billing Architecture,Registered
CR-4813,2026-06-30T14:18:00,REJECTED,Data Governance,Direct relationship hides allocation evidence
CR-4814,2026-06-30T13:00:00,SUBMITTED,Dispatch Architecture,Registered
CR-4814,2026-06-30T14:22:00,APPROVED,Change Control Board,Approved for future release
CR-4814,2026-06-30T15:12:00,IMPLEMENTATION_READY,Release Engineering,Ready but future effective
CR-4815,2026-06-30T13:05:00,SUBMITTED,Customer Architecture,Registered
CR-4815,2026-06-30T15:00:00,PENDING_REVIEW,Change Control Board,Not approved by cutoff
CR-4816,2026-06-26T10:00:00,SUBMITTED,Customer Architecture,Registered
CR-4816,2026-06-26T11:00:00,APPROVED,Change Control Board,Approved in prior bundle
CR-4816,2026-06-30T14:29:00,SUPERSEDED,Change Control Board,Superseded by CR-4802
CR-4817,2026-06-30T13:10:00,SUBMITTED,Field Architecture,Registered
CR-4817,2026-06-30T14:25:00,REJECTED,Field Operations,Existing signature semantics retained
CR-4818,2026-06-30T13:15:00,SUBMITTED,Payments Architecture,Registered
CR-4818,2026-06-30T15:20:00,APPROVED,Change Control Board,Approved for July bundle
CR-4818,2026-06-30T15:30:00,IMPLEMENTATION_READY,Release Engineering,Ready for future bundle
CR-4819,2026-06-30T13:20:00,SUBMITTED,Payments Architecture,Registered
CR-4819,2026-06-30T14:35:00,APPROVED,Change Control Board,Approved in post-payment scope
CR-4819,2026-06-30T15:15:00,IMPLEMENTATION_READY,Release Engineering,Ready outside requested scope
CR-4820,2026-06-30T13:22:00,SUBMITTED,Case Management,Registered
CR-4820,2026-06-30T14:36:00,APPROVED,Change Control Board,Approved in collaboration scope
CR-4820,2026-06-30T15:16:00,IMPLEMENTATION_READY,Release Engineering,Ready outside requested scope
CR-4821,2026-06-30T13:25:00,SUBMITTED,Billing Architecture,Registered
CR-4821,2026-06-30T14:37:00,REJECTED,Billing Operations,Adjustment remains required before cash application
CR-4822,2026-06-30T13:26:00,SUBMITTED,Payments Architecture,Registered
CR-4822,2026-06-30T14:41:00,APPROVED,Change Control Board,Provisional approval
CR-4822,2026-06-30T15:50:00,WITHDRAWN,Payments Architecture,Amount remains the required fact
CR-4823,2026-06-30T13:27:00,SUBMITTED,Dispatch Architecture,Registered
CR-4823,2026-06-30T14:42:00,REJECTED,Data Governance,Assignment bridge remains authoritative
CR-4824,2026-06-26T10:30:00,SUBMITTED,Field Architecture,Registered
