unit_id,event_at,state,actor,note
DU-A-01,2026-06-30T15:20:00,QUEUED,Deployment Control,Unit belongs to another wave
DU-A-01,2026-06-30T15:40:00,PRODUCTION_VERIFIED,Wave Verification,Verified only in its own wave context
DU-A-02,2026-06-30T15:20:00,QUEUED,Deployment Control,Unit belongs to another wave
DU-A-02,2026-06-30T15:40:00,PRODUCTION_VERIFIED,Wave Verification,Verified only in its own wave context
DU-A-03,2026-06-30T15:20:00,QUEUED,Deployment Control,Unit belongs to another wave
DU-A-03,2026-06-30T15:40:00,PRODUCTION_VERIFIED,Wave Verification,Verified only in its own wave context
DU-A-04,2026-06-30T15:20:00,QUEUED,Deployment Control,Unit belongs to another wave
DU-A-04,2026-06-30T15:40:00,PRODUCTION_VERIFIED,Wave Verification,Verified only in its own wave context
DU-AGR-02,2026-06-30T15:48:00,QUEUED,Deployment Control,Queued in selected wave
DU-AGR-02,2026-06-30T15:58:00,CANARY_VERIFIED,Release Engineering,Canary checks passed
DU-AGR-02,2026-06-30T16:05:00,PRODUCTION_VERIFIED,Production Verification,Initial production verification
DU-AGR-02,2026-06-30T16:15:00,ROLLED_BACK,Release Engineering,Compatibility rollback completed before cutoff
DU-COM-03,2026-06-30T15:48:00,QUEUED,Deployment Control,Queued in selected wave
DU-COM-03,2026-06-30T15:58:00,CANARY_VERIFIED,Release Engineering,Canary checks passed
DU-COM-03,2026-06-30T16:08:00,PRODUCTION_VERIFIED,Production Verification,Verified in production
DU-COM-04,2026-06-30T15:48:00,QUEUED,Deployment Control,Queued in selected wave
DU-COM-04,2026-06-30T15:58:00,CANARY_VERIFIED,Release Engineering,Canary checks passed
DU-COM-04,2026-06-30T16:08:00,PRODUCTION_VERIFIED,Production Verification,Verified in production
DU-COM-05,2026-06-30T15:48:00,QUEUED,Deployment Control,Queued in selected wave
DU-COM-05,2026-06-30T15:58:00,CANARY_VERIFIED,Release Engineering,Canary checks passed
DU-COM-05,2026-06-30T16:08:00,PRODUCTION_VERIFIED,Production Verification,Verified in production
DU-COV-01,2026-06-30T15:48:00,QUEUED,Deployment Control,Queued in selected wave
DU-COV-01,2026-06-30T15:58:00,CANARY_VERIFIED,Release Engineering,Canary checks passed
DU-COV-01,2026-06-30T16:08:00,PRODUCTION_VERIFIED,Production Verification,Verified in production
